City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mahanoro,-19.9,48.8,294.83,92,100,4.87,MG,1746490776
84,balkanabat,39.5108,54.3671,297.34,38,100,1.07,TM,1746490777
85,enewetak,11.3474,162.3373,300.76,77,7,7.88,MH,1746490779
86,pandan,14.0453,124.1694,301.97,75,87,1.08,PH,1746490780
87,eenhana,-17.4667,16.3333,293.92,54,52,2.92,NA,1746490781
88,san antonio de pale,-1.4014,5.6325,300.53,80,100,6.39,GQ,1746490782
89,vinchia,22.2,71.3667,300.42,74,74,5.99,IN,1746490783
90,talnakh,69.4865,88.3972,271.68,95,87,2.41,RU,1746490784
91,tual,-5.6667,132.75,301.08,78,99,4.58,ID,1746490785
92,nova sintra,14.8667,-24.7167,296.76,82,5,5.68,CV,1746490787
93,nusaybin,37.0778,41.2178,287.13,81,99,0.36,TR,1746490789
94,nuuk,64.1835,-51.7216,270.49,93,100,3.6,GL,1746490579
95,tsiombe,-25.3,45.4833,293.32,60,18,5.39,MG,1746490791
96,lata,40.1629,-8.3327,282.77,97,28,0.97,PT,1746490792
97,whitehorse,60.7161,-135.0538,284.71,42,40,10.8,CA,1746490553
98,hobyo,5.3505,48.5268,302.34,64,95,5.65,SO,1746490795
99,vieste,41.8825,16.175,290.53,74,59,4.04,IT,1746490796
100,pitoa,9.3833,13.5333,305.57,26,69,0.26,CM,1746490797
101,kingston,17.997,-76.7936,300.68,78,40,6.69,JM,1746490765
102,anadyr,64.75,177.4833,266.43,73,0,3.0,RU,1746490799
103,kruisfontein,-34.0033,24.7314,286.84,52,0,2.62,ZA,1746490800
104,singkil,-7.9855,111.4161,301.37,88,77,1.64,ID,1746490802
105,dhidhdhoo,6.8833,73.1,302.31,76,100,6.62,MV,1746490803
106,papatowai,-46.5619,169.4708,287.3,54,53,0.84,NZ,1746490804
107,paracuru,-3.41,-39.0306,299.03,86,12,4.01,BR,1746490805
108,mar del plata,-38.0023,-57.5575,286.45,82,20,6.71,AR,1746490779
109,takehara,34.3383,132.9167,288.17,94,75,5.66,JP,1746490807
110,khenchela,35.4358,7.1433,287.01,65,50,0.45,DZ,1746490809
111,atbasar,51.8,68.3333,286.59,57,50,3.51,KZ,1746490810
112,toliara,-23.35,43.6667,293.02,70,0,6.87,MG,1746490811
113,jerome,42.7241,-114.5186,286.86,66,100,10.8,US,1746490812
114,tazacorte,28.629,-17.9293,292.69,89,100,1.03,ES,1746490814
115,cruzeiro do sul,-29.5128,-51.9853,294.55,94,45,0.47,BR,1746490815
116,flin flon,54.7682,-101.865,285.19,27,100,5.41,CA,1746490810
117,holualoa,19.6228,-155.9522,296.94,92,82,0.45,US,1746490818
118,long beach,33.767,-118.1892,291.48,76,100,3.6,US,1746490577
119,kuraymah,18.55,31.85,295.42,21,0,5.77,SD,1746490820
120,ahmadpur east,29.1431,71.2598,298.93,57,75,0.58,PK,1746490821
121,kurchatov,51.6601,35.6521,284.35,86,100,4.09,RU,1746490591
122,as samawah,31.332,45.2944,297.64,37,0,6.16,IQ,1746490824
123,stanley,54.868,-1.6985,274.0,88,27,1.29,GB,1746490825
124,marakkanam,12.2,79.95,301.58,79,73,3.81,IN,1746490826
125,susuman,62.7833,148.1667,270.07,80,95,1.06,RU,1746490827
126,abadiania,-16.2042,-48.7069,292.66,70,76,1.53,BR,1746490828
127,la'ie,21.6477,-157.9253,300.4,74,86,4.02,US,1746490829
128,nyurba,63.2842,118.3319,272.51,96,100,0.7,RU,1746490830
129,uturoa,-16.7333,-151.4333,300.38,72,3,3.23,PF,1746490832
130,lobujya,27.95,86.8167,263.28,78,63,2.88,NP,1746490833
131,pitanga,-24.7572,-51.7614,289.71,82,16,0.82,BR,1746490818
132,bamboo flat,11.7,92.7167,300.27,73,79,2.31,IN,1746490835
133,ad dabbah,18.05,30.95,295.13,20,0,4.97,SD,1746490838
134,mount pearl,47.5166,-52.7813,274.34,79,40,6.69,CA,1746490839
135,yashkul',46.1711,45.3435,285.62,72,12,2.66,RU,1746490742
